source_index,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,status,checked,bridge_swap,new_block_perm,c_pi,c_gamma_pi,c_pi_gamma_inv,plus,minus,g_plus,g_minus,components,permutation_image
0,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
0,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
0,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
0,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
1,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
1,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
1,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
1,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
2,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
2,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
2,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
2,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
3,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
3,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
3,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
3,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
4,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
4,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
4,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
4,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
5,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
5,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
5,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
5,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
6,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
6,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
6,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
6,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
7,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
7,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
7,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
7,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
8,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
8,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
8,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
8,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
9,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
9,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
9,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
9,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
10,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
10,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
10,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
10,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
11,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
11,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
11,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
11,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
12,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
12,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
12,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
12,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
13,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
13,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
13,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
13,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
14,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
14,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
14,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
14,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
15,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
15,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
15,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
15,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
16,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
16,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
16,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
16,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
17,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
17,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
17,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
17,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
18,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
18,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
18,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
18,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
19,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
19,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
19,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
19,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
20,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
20,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
20,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
20,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
21,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
21,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
21,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
21,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
22,43,53,55,56,44,54,56,58,found,35,0:258,258 260 261 263 259 262,56,58,58,194,194,54,54,1,
22,43,53,55,56,44,54,57,57,found,11,0:258,258 259 261 263 260 262,57,57,57,194,194,54,54,1,
22,43,53,55,56,44,54,58,56,found,17,0:258,258 259 262 263 260 261,58,56,56,194,194,54,54,1,
22,43,53,55,56,44,55,56,56,found,65,0:258,258 261 262 263 259 260,56,56,56,196,196,55,55,1,
23,43,53,56,55,44,54,56,58,found,163,0:258,259 260 263 258 261 262,56,58,58,194,194,54,54,1,
23,43,53,56,55,44,54,57,57,found,35,0:258,258 260 261 263 259 262,57,57,57,194,194,54,54,1,
23,43,53,56,55,44,54,58,56,found,11,0:258,258 259 261 263 260 262,58,56,56,194,194,54,54,1,
23,43,53,56,55,44,55,56,56,found,173,0:258,259 261 258 263 260 262,56,56,56,196,196,55,55,1,
