k,r,j,h,E,plus_defect,minus_defect,pi_cycles,gamma_pi_cycles,pi_gamma_inv_cycles,count
4,1,0,1,2,0,2,1,4,2,1
4,1,0,1,2,0,2,2,3,1,4
4,1,0,1,2,2,0,1,2,4,1
4,1,0,1,2,2,0,2,1,3,4
4,1,0,2,4,2,2,1,2,2,4
4,1,0,2,4,2,2,2,1,1,1
4,2,0,2,4,0,4,2,8,4,1
4,2,0,2,4,0,4,3,7,3,8
4,2,0,2,4,0,4,4,6,2,16
4,2,0,2,4,2,2,2,6,6,2
4,2,0,2,4,2,2,3,5,5,16
4,2,0,2,4,2,2,4,4,4,32
4,2,0,2,4,4,0,2,4,8,1
4,2,0,2,4,4,0,3,3,7,8
4,2,0,2,4,4,0,4,2,6,16
4,2,0,3,6,2,4,2,6,4,8
4,2,0,3,6,2,4,3,5,3,34
4,2,0,3,6,2,4,4,4,2,8
4,2,0,3,6,4,2,2,4,6,8
4,2,0,3,6,4,2,3,3,5,34
4,2,0,3,6,4,2,4,2,4,8
4,2,0,4,8,4,4,2,4,4,16
4,2,0,4,8,4,4,3,3,3,8
4,2,0,4,8,4,4,4,2,2,1
4,2,1,0,4,2,2,3,5,5,64
4,2,1,0,4,2,2,4,4,4,420
4,2,1,0,4,2,2,5,3,3,784
4,2,1,0,4,2,2,6,2,2,264
4,2,1,0,4,2,2,7,1,1,16
4,2,1,1,6,2,4,2,6,4,72
4,2,1,1,6,2,4,3,5,3,656
4,2,1,1,6,2,4,4,4,2,1520
4,2,1,1,6,2,4,5,3,1,416
4,2,1,1,6,4,2,2,4,6,72
4,2,1,1,6,4,2,3,3,5,656
4,2,1,1,6,4,2,4,2,4,1520
4,2,1,1,6,4,2,5,1,3,416
4,2,1,2,8,2,6,1,7,3,16
4,2,1,2,8,2,6,2,6,2,192
4,2,1,2,8,2,6,3,5,1,480
4,2,1,2,8,4,4,1,5,5,48
4,2,1,2,8,4,4,2,4,4,1268
4,2,1,2,8,4,4,3,3,3,5632
4,2,1,2,8,4,4,4,2,2,3116
4,2,1,2,8,4,4,5,1,1,200
4,2,1,2,8,6,2,1,3,7,16
4,2,1,2,8,6,2,2,2,6,192
4,2,1,2,8,6,2,3,1,5,480
4,2,1,3,10,4,6,1,5,3,376
4,2,1,3,10,4,6,2,4,2,3296
4,2,1,3,10,4,6,3,3,1,2208
4,2,1,3,10,6,4,1,3,5,376
4,2,1,3,10,6,4,2,2,4,3296
4,2,1,3,10,6,4,3,1,3,2208
4,2,1,4,12,4,8,1,5,1,192
4,2,1,4,12,6,6,1,3,3,2176
4,2,1,4,12,6,6,2,2,2,4644
4,2,1,4,12,6,6,3,1,1,616
4,2,1,4,12,8,4,1,1,5,192
4,2,1,5,14,6,8,1,3,1,736
4,2,1,5,14,8,6,1,1,3,736
4,2,1,6,16,8,8,1,1,1,176
4,3,0,3,6,0,6,3,12,6,1
4,3,0,3,6,0,6,4,11,5,12
4,3,0,3,6,0,6,5,10,4,48
4,3,0,3,6,0,6,6,9,3,64
4,3,0,3,6,2,4,3,10,8,3
4,3,0,3,6,2,4,4,9,7,36
4,3,0,3,6,2,4,5,8,6,144
4,3,0,3,6,2,4,6,7,5,192
4,3,0,3,6,4,2,3,8,10,3
4,3,0,3,6,4,2,4,7,9,36
4,3,0,3,6,4,2,5,6,8,144
4,3,0,3,6,4,2,6,5,7,192
4,3,0,3,6,6,0,3,6,12,1
4,3,0,3,6,6,0,4,5,11,12
4,3,0,3,6,6,0,5,4,10,48
4,3,0,3,6,6,0,6,3,9,64
4,3,0,4,8,2,6,3,10,6,12
4,3,0,4,8,2,6,4,9,5,99
4,3,0,4,8,2,6,5,8,4,216
4,3,0,4,8,2,6,6,7,3,48
4,3,0,4,8,4,4,3,8,8,24
4,3,0,4,8,4,4,4,7,7,198
4,3,0,4,8,4,4,5,6,6,432
4,3,0,4,8,4,4,6,5,5,96
4,3,0,4,8,6,2,3,6,10,12
4,3,0,4,8,6,2,4,5,9,99
4,3,0,4,8,6,2,5,4,8,216
4,3,0,4,8,6,2,6,3,7,48
4,3,0,5,10,4,6,3,8,6,48
4,3,0,5,10,4,6,4,7,5,216
4,3,0,5,10,4,6,5,6,4,99
4,3,0,5,10,4,6,6,5,3,12
4,3,0,5,10,6,4,3,6,8,48
4,3,0,5,10,6,4,4,5,7,216
4,3,0,5,10,6,4,5,4,6,99
4,3,0,5,10,6,4,6,3,5,12
4,3,0,6,12,6,6,3,6,6,64
4,3,0,6,12,6,6,4,5,5,48
4,3,0,6,12,6,6,5,4,4,12
4,3,0,6,12,6,6,6,3,3,1
4,3,1,1,6,2,4,4,9,7,192
4,3,1,1,6,2,4,5,8,6,2028
4,3,1,1,6,2,4,6,7,5,7392
4,3,1,1,6,2,4,7,6,4,10200
4,3,1,1,6,2,4,8,5,3,3216
4,3,1,1,6,2,4,9,4,2,192
4,3,1,1,6,4,2,4,7,9,192
4,3,1,1,6,4,2,5,6,8,2028
4,3,1,1,6,4,2,6,5,7,7392
4,3,1,1,6,4,2,7,4,6,10200
4,3,1,1,6,4,2,8,3,5,3216
4,3,1,1,6,4,2,9,2,4,192
4,3,1,2,8,2,6,3,10,6,216
4,3,1,2,8,2,6,4,9,5,2832
4,3,1,2,8,2,6,5,8,4,12432
4,3,1,2,8,2,6,6,7,3,19488
4,3,1,2,8,2,6,7,6,2,4992
4,3,1,2,8,4,4,3,8,8,432
4,3,1,2,8,4,4,4,7,7,6432
4,3,1,2,8,4,4,5,6,6,30096
4,3,1,2,8,4,4,6,5,5,49644
4,3,1,2,8,4,4,7,4,4,15504
4,3,1,2,8,4,4,8,3,3,984
4,3,1,2,8,4,4,9,2,2,48
4,3,1,2,8,6,2,3,6,10,216
4,3,1,2,8,6,2,4,5,9,2832
4,3,1,2,8,6,2,5,4,8,12432
4,3,1,2,8,6,2,6,3,7,19488
4,3,1,2,8,6,2,7,2,6,4992
4,3,1,3,10,2,8,2,11,5,48
4,3,1,3,10,2,8,3,10,4,768
4,3,1,3,10,2,8,4,9,3,3744
4,3,1,3,10,2,8,5,8,2,5760
4,3,1,3,10,4,6,2,9,7,192
4,3,1,3,10,4,6,3,8,6,6012
4,3,1,3,10,4,6,4,7,5,43944
4,3,1,3,10,4,6,5,6,4,102900
4,3,1,3,10,4,6,6,5,3,47544
4,3,1,3,10,4,6,7,4,2,3648
4,3,1,3,10,6,4,2,7,9,192
4,3,1,3,10,6,4,3,6,8,6012
4,3,1,3,10,6,4,4,5,7,43944
4,3,1,3,10,6,4,5,4,6,102900
4,3,1,3,10,6,4,6,3,5,47544
4,3,1,3,10,6,4,7,2,4,3648
4,3,1,3,10,8,2,2,5,11,48
4,3,1,3,10,8,2,3,4,10,768
4,3,1,3,10,8,2,4,3,9,3744
4,3,1,3,10,8,2,5,2,8,5760
4,3,1,4,12,4,8,2,9,5,1320
4,3,1,4,12,4,8,3,8,4,16752
4,3,1,4,12,4,8,4,7,3,52512
4,3,1,4,12,4,8,5,6,2,27936
4,3,1,4,12,6,6,2,7,7,2832
4,3,1,4,12,6,6,3,6,6,44160
4,3,1,4,12,6,6,4,5,5,163740
4,3,1,4,12,6,6,5,4,4,107280
4,3,1,4,12,6,6,6,3,3,11748
4,3,1,4,12,6,6,7,2,2,600
4,3,1,4,12,8,4,2,5,9,1320
4,3,1,4,12,8,4,3,4,8,16752
4,3,1,4,12,8,4,4,3,7,52512
4,3,1,4,12,8,4,5,2,6,27936
4,3,1,5,14,4,10,2,9,3,576
4,3,1,5,14,4,10,3,8,2,2304
4,3,1,5,14,6,8,2,7,5,11616
4,3,1,5,14,6,8,3,6,4,83028
4,3,1,5,14,6,8,4,5,3,93960
4,3,1,5,14,6,8,5,4,2,14016
4,3,1,5,14,8,6,2,5,7,11616
4,3,1,5,14,8,6,3,4,6,83028
4,3,1,5,14,8,6,4,3,5,93960
4,3,1,5,14,8,6,5,2,4,14016
4,3,1,5,14,10,4,2,3,9,576
4,3,1,5,14,10,4,3,2,8,2304
4,3,1,6,16,6,10,2,7,3,4512
4,3,1,6,16,6,10,3,6,2,9408
4,3,1,6,16,8,8,2,5,5,30528
4,3,1,6,16,8,8,3,4,4,79920
4,3,1,6,16,8,8,4,3,3,21324
4,3,1,6,16,8,8,5,2,2,1848
4,3,1,6,16,10,6,2,3,7,4512
4,3,1,6,16,10,6,3,2,6,9408
4,3,1,7,18,8,10,2,5,3,9360
4,3,1,7,18,8,10,3,4,2,4320
4,3,1,7,18,10,8,2,3,5,9360
4,3,1,7,18,10,8,3,2,4,4320
4,3,1,8,20,10,10,2,3,3,2112
4,3,1,8,20,10,10,3,2,2,528
4,3,2,0,8,4,4,4,7,7,5632
4,3,2,0,8,4,4,5,6,6,58112
4,3,2,0,8,4,4,6,5,5,212928
4,3,2,0,8,4,4,7,4,4,316800
4,3,2,0,8,4,4,8,3,3,147648
4,3,2,0,8,4,4,9,2,2,21312
4,3,2,0,8,4,4,10,1,1,704
4,3,2,1,10,4,6,3,8,6,10048
4,3,2,1,10,4,6,4,7,5,138624
4,3,2,1,10,4,6,5,6,4,638016
4,3,2,1,10,4,6,6,5,3,1126272
4,3,2,1,10,4,6,7,4,2,526848
4,3,2,1,10,4,6,8,3,1,56832
4,3,2,1,10,6,4,3,6,8,10048
4,3,2,1,10,6,4,4,5,7,138624
4,3,2,1,10,6,4,5,4,6,638016
4,3,2,1,10,6,4,6,3,5,1126272
4,3,2,1,10,6,4,7,2,4,526848
4,3,2,1,10,6,4,8,1,3,56832
4,3,2,2,12,4,8,2,9,5,5056
4,3,2,2,12,4,8,3,8,4,90624
4,3,2,2,12,4,8,4,7,3,502400
4,3,2,2,12,4,8,5,6,2,977728
4,3,2,2,12,4,8,6,5,1,334656
4,3,2,2,12,6,6,2,7,7,13632
4,3,2,2,12,6,6,3,6,6,385344
4,3,2,2,12,6,6,4,5,5,2906720
4,3,2,2,12,6,6,5,4,4,7750336
4,3,2,2,12,6,6,6,3,3,5630784
4,3,2,2,12,6,6,7,2,2,1041792
4,3,2,2,12,6,6,8,1,1,32928
4,3,2,2,12,8,4,2,5,9,5056
4,3,2,2,12,8,4,3,4,8,90624
4,3,2,2,12,8,4,4,3,7,502400
4,3,2,2,12,8,4,5,2,6,977728
4,3,2,2,12,8,4,6,1,5,334656
4,3,2,3,14,4,10,1,10,4,704
4,3,2,3,14,4,10,2,9,3,16256
4,3,2,3,14,4,10,3,8,2,103808
4,3,2,3,14,4,10,4,7,1,196992
4,3,2,3,14,6,8,1,8,6,3936
4,3,2,3,14,6,8,2,7,5,265408
4,3,2,3,14,6,8,3,6,4,3242176
4,3,2,3,14,6,8,4,5,3,12065056
4,3,2,3,14,6,8,5,4,2,10545728
4,3,2,3,14,6,8,6,3,1,1750464
4,3,2,3,14,8,6,1,6,8,3936
4,3,2,3,14,8,6,2,5,7,265408
4,3,2,3,14,8,6,3,4,6,3242176
4,3,2,3,14,8,6,4,3,5,12065056
4,3,2,3,14,8,6,5,2,4,10545728
4,3,2,3,14,8,6,6,1,3,1750464
4,3,2,3,14,10,4,1,4,10,704
4,3,2,3,14,10,4,2,3,9,16256
4,3,2,3,14,10,4,3,2,8,103808
4,3,2,3,14,10,4,4,1,7,196992
4,3,2,4,16,6,10,1,8,4,44608
4,3,2,4,16,6,10,2,7,3,979712
4,3,2,4,16,6,10,3,6,2,4869952
4,3,2,4,16,6,10,4,5,1,3823680
4,3,2,4,16,8,8,1,6,6,126720
4,3,2,4,16,8,8,2,5,5,4072160
4,3,2,4,16,8,8,3,4,4,28142720
4,3,2,4,16,8,8,4,3,3,42563232
4,3,2,4,16,8,8,5,2,2,13064448
4,3,2,4,16,8,8,6,1,1,546432
4,3,2,4,16,10,6,1,4,8,44608
4,3,2,4,16,10,6,2,3,7,979712
4,3,2,4,16,10,6,3,2,6,4869952
4,3,2,4,16,10,6,4,1,5,3823680
4,3,2,5,18,6,12,1,8,2,41216
4,3,2,5,18,6,12,2,7,1,309888
4,3,2,5,18,8,10,1,6,4,1049248
4,3,2,5,18,8,10,2,5,3,15533216
4,3,2,5,18,8,10,3,4,2,35087424
4,3,2,5,18,8,10,4,3,1,11432256
4,3,2,5,18,10,8,1,4,6,1049248
4,3,2,5,18,10,8,2,3,5,15533216
4,3,2,5,18,10,8,3,2,4,35087424
4,3,2,5,18,10,8,4,1,3,11432256
4,3,2,5,18,12,6,1,2,8,41216
4,3,2,5,18,12,6,2,1,7,309888
4,3,2,6,20,8,12,1,6,2,1451648
4,3,2,6,20,8,12,2,5,1,4712064
4,3,2,6,20,10,10,1,4,4,7911424
4,3,2,6,20,10,10,2,3,3,47115168
4,3,2,6,20,10,10,3,2,2,35180736
4,3,2,6,20,10,10,4,1,1,2708512
4,3,2,6,20,12,8,1,2,6,1451648
4,3,2,6,20,12,8,2,1,5,4712064
4,3,2,7,22,10,12,1,4,2,9155456
4,3,2,7,22,10,12,2,3,1,11597568
4,3,2,7,22,12,10,1,2,4,9155456
4,3,2,7,22,12,10,2,1,3,11597568
4,3,2,8,24,12,12,1,2,2,8385024
4,3,2,8,24,12,12,2,1,1,2413824
